t,i,x,y,r,theta,xK,tc,therm,dc,i,x2,y2,r2,theta2
1681588885.2276387, 3.2, -1.115713e-05, -1.769696e-06, 1.093569e-05, 188.9552, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0165406, 0.419252, 0.966
1681588891.729082, -3.2, -5.600324e-06, -1.769696e-06, 5.525792e-06, 198.4389, 0, 0, 0, +4.166289E+00, +2.958075E-10, 0.985477, 0.0166627, 0.419252, 0.966
1681588914.3871949, 3.2, -4.649818e-06, -2.062028e-06, 4.918107e-06, 202.3931, 0, 0, 0, +8.334009E+00, -3.343693E-10, 0.984989, 0.0164796, 0.418703, 0.96
1681588920.9066248, -3.2, 9.801004e-07, -1.988946e-06, 2.502987e-06, 309.689, 0, 0, 0, +8.334009E+00, -3.343693E-10, 0.984989, 0.0165406, 0.418703, 0.966
1681588927.4156384, 3.2, -4.942282e-06, -2.062028e-06, 5.096728e-06, 203.6773, 0, 0, 0, +8.334009E+00, -3.343693E-10, 0.984989, 0.0166017, 0.418703, 0.966
1681588933.896525, -3.2, 9.069846e-07, -2.062028e-06, 2.197887e-06, 290.9314, 0, 0, 0, +8.334009E+00, -3.343693E-10, 0.984989, 0.0166017, 0.418703, 0.966
1681588940.4112256, 3.2, -5.234745e-06, -1.915862e-06, 5.599863e-06, 202.647, 0, 0, 0, +8.334009E+00, -3.343693E-10, 0.984989, 0.0166017, 0.418703, 0.966
1681588946.9036496, -3.2, 1.565027e-06, -2.062028e-06, 2.576706e-06, 306.8736, 0, 0, 0, +8.334009E+00, -3.343693E-10, 0.984989, 0.0165406, 0.418703, 0.966
1681588953.4025826, 3.2, -5.234745e-06, -1.915862e-06, 5.918967e-06, 199.5524, 0, 0, 0, +8.334009E+00, -3.343693E-10, 0.984989, 0.0166017, 0.418703, 0.966
1681588959.9046674, -3.2, 2.954228e-06, -1.988946e-06, 3.870016e-06, 323.7086, 0, 0, 0, +8.334009E+00, -3.343693E-10, 0.984989, 0.0165406, 0.418703, 0.966
1681588966.4211824, 3.2, -4.722935e-06, -1.988946e-06, 5.259723e-06, 202.8372, 0, 0, 0, +8.334009E+00, -3.343693E-10, 0.984989, 0.0166017, 0.418703, 0.966
1681588972.9360301, -3.2, 7.607529e-07, -1.915862e-06, 2.224252e-06, 295.3333, 0, 0, 0, +8.334009E+00, -3.343693E-10, 0.984989, 0.0165406, 0.418703, 0.966
1681588979.4267604, 3.2, -4.942282e-06, -1.915862e-06, 5.096728e-06, 200.2536, 0, 0, 0, +8.334009E+00, -3.343693E-10, 0.984989, 0.0165406, 0.418703, 0.966
1681588985.9219372, -3.2, 1.126332e-06, -1.915862e-06, 2.152005e-06, 296.2329, 0, 0, 0, +8.334009E+00, -3.343693E-10, 0.984928, 0.0166017, 0.418703, 0.966
1681588992.4080596, 3.2, -5.088514e-06, -1.842779e-06, 5.368868e-06, 201.349, 0, 0, 0, +8.334009E+00, -3.343693E-10, 0.984989, 0.0165406, 0.418703, 0.966
1681588998.9128983, -3.2, 1.272564e-06, -1.988946e-06, 2.104459e-06, 288.4423, 0, 0, 0, +8.334009E+00, -3.343693E-10, 0.984989, 0.0165406, 0.418703, 0.966
1681589005.4216197, 3.2, -4.722935e-06, -2.135112e-06, 5.437233e-06, 200.9067, 0, 0, 0, +8.334009E+00, -3.343693E-10, 0.984989, 0.0166017, 0.418703, 0.966
1681589011.922873, -3.2, 1.491911e-06, -1.988946e-06, 2.623797e-06, 311.7714, 0, 0, 0, +8.334009E+00, -3.343693E-10, 0.984928, 0.0165406, 0.418703, 0.966
1681589018.4081259, 3.2, -4.869166e-06, -1.988946e-06, 5.463412e-06, 199.3935, 0, 0, 0, +8.334009E+00, -3.343693E-10, 0.984928, 0.0165406, 0.418703, 0.966
1681589024.9313936, -3.2, 1.491911e-06, -1.915862e-06, 2.473831e-06, 309.2447, 0, 0, 0, +8.334009E+00, -3.343693E-10, 0.984989, 0.0165406, 0.418703, 0.966
1681589031.4291978, 3.2, -5.307861e-06, -2.135112e-06, 5.39538e-06, 202.08, 0, 0, 0, +8.334009E+00, -3.343693E-10, 0.984989, 0.0165406, 0.418703, 0.966
1681589037.9256506, -3.2, 1.565027e-06, -1.842779e-06, 2.486303e-06, 311.8968, 0, 0, 0, +8.334009E+00, -3.343693E-10, 0.984989, 0.0166017, 0.418703, 0.966
